クエストID,変数番号,Quest Name,Quest Rank,Quest Level,Explanation,Client,Order conditions,Derived conditions,Clear conditions,Success Reward,受注場所,受注場所詳細,クエストアイコン,アダルト表示,アダルトキャラ,表示順序,<br>
92,592,Allies,-,-,"Please gather as many allies as possible to join forces in
slaying the dragon as ordered by Guild Master Agonia.",-,-,-,Gathering allies to defeat the dragon.,-,-,-,-,非表示,-,51,<br>
93,593,Audience with Queen Caron,-,-,"Please meet with Queen Caron to report the mission of
slaying the dragon as ordered by Guild Master Agonia.",-,-,-,Audience with Queen Caron,-,-,-,-,非表示,-,53,<br>
94,594,Rascal in the pantry,-,1,"Please exterminate the large snake that escaped to the back
of the pantry as requested by Housewife Zere.",Housewife Zere,-,-,Exterminate the giant snake.,・300G,バリエ,掲示板,icon_stray_hunt_1,非表示,-,108,<br>
95,595,Organizing the pantry,-,1,"Please organize the overflowing pantry with the food
supplies requested by the cook Sitos.",Chef Sitos,-,-,Organizing the pantry.,・300G,カノナス,掲示板,icon_stray_delivery_1,非表示,-,133,<br>
96,596,Monster in the Well,-,3,"Please investigate the well where there has been a strange
occurrence as requested by the farmer Amiro.",Farmer Amiro,・Thief Noras Skill: Superhuman Strength is Lv.2 or higher.,-,Conducting an investigation inside the well.,・500G,カンプス,掲示板,icon_stray_seek_1,非表示,-,152,<br>
97,597,The big rat in the warehouse,-,3,"Please exterminate the large rat that has taken up residence
in the warehouse as requested by the wanderer Cors.",Cors the Wanderer,"・Thief Noras skill: Superhuman strength is level 2 or
higher.",-,Exterminate the large rat in the warehouse.,・500G,ミュコス,掲示板,icon_stray_hunt_1,非表示,-,175,<br>
98,598,Organizing the Crystal Warehouse,-,4,"Director Staros request: Please help organize the crystal
warehouse.",Director Staro,"・Clear the transportation of the giant crystal.・Thief Noras
skill: Superhuman strength is level 3 or higher.",-,Organizing the Crystal Warehouse.,・1000G,オロス,掲示板,icon_stray_delivery_2,非表示,-,191,<br>
99,599,Forest troublemaker,-,6,"Please eliminate the injured bear that the trap master
Trampa failed to capture. If Noras lewdness level
increases the adult scene will be avoided.",Trap Master Trampa,"・Thief Noras Lewdness Level is high. ・Thief Noras skill:
Super Strength is Level 3 or higher.","・To perform a vaginal creampie you need at least the sexual
technique [Seductive Woman Lv.0] or higher.",Extermination of a wounded bear.,・1000G,ヴァルト,掲示板,icon_adult_002_3,表示,ノラ,211,<br>
100,600,Invitation of the Wild Child,-,1,"Please lend your body to the hunter Jägers request to go to
the hunting ground lake. You can accept the request multiple
times until Noras lewdness level increases.",Hunter Jaeger,"・Thief Nora has cleared the promiscuous Lv.・Forest
troublemaker.","・To perform a vaginal creampie you need at least the sexual
technique [Seductive Woman Lv.0] or higher.",Lending my body to the hunter Jaeger.,・500G,ヴァルト,掲示板,icon_adult_002_loop_3,表示,ノラ,212,<br>
101,601,Memento coin,-,1,"Please find the coin that I dropped which was requested by
the coal miner Philo.",Philo the coal miner.,-,-,Find the coin.,・300G,バリエ,掲示板,icon_stray_collect_1,非表示,-,109,<br>
102,602,The Little Assassin of the Grasslands,-,2,"Please perform the extermination of the poisonous snakes
that are in the farmer Zurepanis request farmland.",Farmer Zurepani,-,-,Extermination of Poisonous Snakes,・500G,カンプス,掲示板,icon_stray_hunt_2,非表示,-,153,<br>
103,603,Maids lost item.,-,4,"Please find the pearl necklace that the master dropped in
the desert as requested by Maid Niihi.",Maids Duty," ・Cleas skill: Slashing is at level 2 or higher. ・Mage
Relms skill: Detection is at level 2 or higher.",-,Searching for a pearl necklace.,・800G,カノナス,掲示板,icon_stray_collect_2,非表示,-,132,<br>
104,604,Cleaning the cargo ship,-,4,Please find the ivory cup that Captain Heepar has lost.,Captain Heeparu,"・Cleas skill: Slashing is at level 2 or higher ・Thief
Noras skill: Sense of smell is at level 2 or higher",-,Searching for the Ivory Chalice.,・800G,ミュコス,掲示板,icon_stray_collect_2,非表示,-,176,<br>
105,605,Melancholic Alchemist,-,3,"Clea please find the herb Oradorus Eye which is necessary
for the request from the alchemist Miti. If Cleas lewdness
level increases adult scenes will be avoided.",Alchemist Miti,"・Cleas lewdness level is high. ・Cleas skill: Slashing is
level 3 or higher.","・To perform a vaginal creampie you need at least the sexual
technique [Enchanting Eyes Lv.0].",Searching for the eyes of the herb Oradoru.,・1000G,オロス,掲示板,icon_adult_001_3,表示,クレア,192,<br>
106,606,A suspicious alchemist,-,1,"Please prove that the herb Oradorus eyes which I delivered
as a request from the alchemist Miti are genuine. You can
accept this request multiple times until Cleas lewdness
level increases.",Alchemist Miti,Clea has cleared the lewd Lv. and melancholic alchemist.,"・To perform a vaginal creampie you need at least the sexual
technique [Enchanting Eyes Lv.0].",The herb Oradorus eyes prove that they are real.,・800G,オロス,掲示板,icon_adult_001_loop_3,表示,クレア,193,<br>
107,607,Fools Grimoire,-,6,"Please retrieve the special crystal which is the
culmination of the research request from the hermit Posdey.
If Relms lewd level increases adult scenes will be
avoided.",Hermit Pose Day,"・Mage Relms promiscuity level is 3 or higher. ・Mage Relms
skill Detection is level 3 or higher. ・Mage Relms skill
Decryption is level 3 or higher. ・Cleas skill Slash is
level 3 or higher.",-,Retrieve the special crystal.,The Fools Grimoire,ヴァルト,掲示板,icon_adult_003_3,表示,リルム,214,<br>
108,608,Skeleton Ship,-,５,"Please return the Crown of the Dead to me on behalf of
Meleena the captain of the skilled adventurer pirate crew
the Pirata Pirates.",Captain Melena of the Pirate Crew Pirata,"・Clear the Skull Sea ・Clear the Black Powder ・Mage Relms
skill: Deciphering is level 2 or higher.",-,Return the Crown of the Dead,・2000・Wise Mans Swimsuit,ギルド,-,icon_sab_guild_delivery_2,非表示,-,23,<br>
109,609,Reunion,-,-,"Please subdue the mutated bear that has appeared in the
forest of Alcuda as ordered by Guild Master Agonia.",Guild Leader Agonia,-,-,Defeat the bear.,-,-,-,-,非表示,-,54,<br>
110,610,Reclaim the place of relaxation.,Experienced adventurer,7,"Please assist in the construction of a tavern in the village
of Irini as requested by the skilled adventurer-supporting
priestess Sophia.",Priestess Sophia,・Cleas skill: Slashing is level 2 or higher.,-,Helping with the construction of a tavern.,-,ギルド,-,icon_guild_collect_3,非表示,-,55,<br>
111,611,Passion for the Ancients,Temporary Intermediate Member,1,"Please deliver the ancient coin that I found to Paro the
archaeologist who is a temporary intermediate member.",Archaeologist Paryo,-,-,Delivering ancient coins.,・300G,ギルド,-,icon_sab_guild_delivery_1,非表示,-,5,<br>
112,612,Plea to the Archmage,Experienced adventurer,7,"Please persuade the Archmage on behalf of skilled adventurer
and request mage Relm to fulfill Relms dream.",Mage Relm,-,-,Persuading the Archmage.,-,ギルド,-,icon_guild_seek_3,非表示,-,57,<br>
113,613,The whereabouts of the Emma Thief Guild.,Experienced adventurer,7,"Please find the clues to the Emma Thief Gangs whereabouts
in the request from skilled adventurer and informant thief
Nora.",Thief Nora,-,-,Searching for clues about the Emma Thief Gang.,-,ギルド,-,icon_guild_seek_3,非表示,-,56,<br>
114,614,Eternal Star,Experienced adventurer,7,"Please unravel the secret of the star-shaped magic circle in
the room of the request door of the experienced adventurer
and explorer Armada.",Explorer Armada,"・Clear the secret of the Voice Room ・Clear the reunion ・Mage
Relms skill: Deciphering is level 2 or higher",-,Solve the secret of the star-shaped rooms door.,・2000G,ギルド,-,icon_sab_guild_infiltrate_3,非表示,-,58,<br>
115,615,Eternal Square,-,7,"Please unravel the secret of the square-shaped magic circle
in the room of the explorer Armadas request door.",Explorer Armada,"・Clear the Eternal Star・Mage Relms skill: Deciphering is
level 3 or higher.",-,Solve the secret of the square-shaped room behind the door.,・2000G,バリエ,掲示板,icon_stray_infiltrate_3,非表示,-,120,<br>
116,616,Proposal from Noble Ect,Experienced adventurer,1,"Please discuss the request from the skilled adventurer
Noble Oricto regarding the explorer Armada.",Noble Ect,Clea has cleared the Eternal Square.,-,Im going to meet the noble Ect.,-,ギルド,-,icon_sab_guild_seek_1,非表示,-,59,<br>
117,617,Eternal Circle,-,8,"Please unravel the secret of the circular magic circle in
the room of the explorer Armadas request door.",Explorer Armada,"・Clea cleared the proposal from noble Ect・Mage Relms skill:
Decipher is level 4 or higher.",-,Solve the secret of the round-shaped rooms door.,・2000G,バリエ,掲示板,icon_stray_infiltrate_3,非表示,-,121,<br>
118,618,Strong and ephemeral beings.,-,8,"Please accompany me to the magic circle that appeared in the
room of the explorer Armadas request door.",Explorer Armada,-,-,Unraveling the secret of the room behind the door.,-,-,-,-,非表示,-,122,<br>
119,619,Shrine Maiden of the Three Goddesses,-,-,"Please head towards the Atomis Temple for a request from the
skilled adventurer liaison High Priest Laoco.",High Priest Laoco,"・I have cleared Reclaiming the Resting Place・I have
cleared The Whereabouts of the Emma Thieves・I have cleared
Plea to the Archmage",-,Im going to meet the High Priest Laoco.,-,-,-,-,非表示,-,62,<br>
120,620,Our new home.,Experienced adventurer,7,"Please assist in the request from the skilled adventurer
support request farmer Gala to open a tavern in the village
of Irini.",Farmer Gala,"・Clea has cleared the Heros Song ・Clea has cleared the
Shrine Maiden of the Three Goddesses",-,Opening a tavern in the village of Irini.,・1000G,ギルド,-,icon_guild_collect_3,非表示,-,63,<br>
121,621,Closed Eyes,Skilled Adventurer,7,◯ Skilled Adventurer Support Request ◯
－・－・－　－・－・－　・・　－・－・
－・－・・　・－・－－　・・・－　－－－,－・－－－　－・・－,・I have cleared the Shrine Maidens of the Three Goddesses.,-,Find the Client,-,ギルド,-,icon_guild_seek_3,非表示,-,65,<br>
122,622,Three-legged hawk,Experienced adventurer,7,"Please go to the designated location specified by the
skilled adventurer support researcher Dokusa and confirm
the details of the request.",Researcher Dokusa,Clea is serving as the priestess of the Three Goddesses.,-,Searching for the magician Parad.,・1000・Walnut (Small) with increased magic defense x3,ギルド,-,icon_guild_seek_3,非表示,-,64,<br>
123,623,Examiner Clea,Experienced adventurer,8,"Please conduct the final examination for the prospective
member of the Adventurers Guild as instructed by Agonia
the guild master who specializes in handling experienced
adventurers.",Guild Leader Agonia,"・Clearing her closed eyes・Clearing our new home・Clearing the
three-legged hawk",-,Fulfilling the duties as an examiner.,-,ギルド,-,icon_guild_wings_3,非表示,-,71,<br>
124,624,Devils Whisper,Experienced adventurer,8,"Please subdue the thieves who have fled to the treacherous
marshlands as requested by General Atu a skilled
adventurer.",General Atu,Clea has cleared the examiner.,-,Subjugate the thieves who fled to the marsh of great falls.,-,ギルド,-,icon_guild_fight_3,非表示,-,72,<br>
125,625,Troubled Pharmacist,-,3,"Please solve the troubles that the pharmacist Santana is
facing. If Relms lewdness level increases adult scenes
will be avoided.",Pharmacist Santana,"・The magician Relm has unlocked the lewd level ・sexual skill
[exhibitionist]",-,Resolving Pharmacist Santanas worries.,・1000G,オロス,掲示板,icon_adult_003_3,表示,リルム,197,<br>
126,626,Unreasonable request,-,,"Please take care of the troublesome prescription work on
behalf of Pharmacist Santana. You can receive the request
multiple times until Relms lewdness level increases.",Pharmacist Santana,"・The promiscuous level of the magician Relm has cleared the
troubled pharmacist.",-,Resolving Pharmacist Santanas worries.,・1000G,オロス,掲示板,icon_adult_003_loop_3,表示,リルム,198,<br>
127,627,The True Identity of the Jet Black,Experienced adventurer,8,"Please resolve the incident of the disappearance of the
magician as requested by the skilled adventurer support
request from the Archmage.",Archmage,Clea has cleared the examiner.,-,Solve the disappearance of the magician case.,・2000G,ギルド,-,icon_guild_fight_3,非表示,-,73,<br>
128,628,Emmas Thief Gang Encirclement,-,-,"Please resolve the conflict between the skilled adventurer
and the noble Pido as requested by a member of the Emma
Thief Guild. Help rescue the comrades of the thief guild.",Emma member of the Thief Guild.,"・Clea has cleared the whispers of the demon・Clea has cleared
the true identity of the pitch black.",-,Resolving the conflict with the noble Pido.,-,-,-,-,非表示,-,76,<br>
129,629,The end of the dream.,Experienced adventurer,8,"Please obtain the final ingredient and complete the special
grimoire for the request from the skilled adventurer and
mage Relm.",Mage Relm,・Clea has cleared the Emma Thief Gang Encirclement,-,Complete the magic book.,-,ギルド,-,icon_guild_collect_3,非表示,-,79,<br>
130,630,Auction with a Secret,Experienced adventurer,8,"Please bid on the living statue that has been put up for
auction as requested by the skilled adventurer support
researcher Dokusa.",Researcher Dokusa,"・I have cleared the Evil Stone Mage ・I have cleared the
examiner Clea",-,Collecting living statues.,・2000G,ギルド,-,icon_guild_collect_3,非表示,-,74,<br>
131,631,One who houses a dragon,Experienced adventurer,8,"Please convince Prince Lex to become king as requested by
the skilled adventurer and priestess Sophia.",Priestess Sophia,Clea has cleared the end of the dream.,-,Persuade Prince Lex.,-,ギルド,-,icon_guild_delivery_3,非表示,-,80,<br>
132,632,Golden Needle,-,-,"Please find a way to reverse the petrification of the
researcher Mono who received a request from the merchant
Strah.",Merchant Strah,"Automatically accept bids in the Auction with special
conditions 1-4.",-,Remove petrification from the researcher-type character.,・2000G,-,-,-,非表示,-,75,<br>
133,633,Assistant inside the crystal.,-,8,"Please find the missing researcher Albus who disappeared
after receiving a request from researcher Dokusa.",Researcher Dokusa,"・Clea cleared the auction with a secret ・Clea cleared the
end of the dream ・The magician Relm acquired the skill [Void
+2] ・The magician Relm acquired the skill [Zenith Solitude]",-,Searching for the researcher Albus.,・2000G,カノナス,掲示板,icon_stray_seek_3,非表示,-,144,<br>
134,634,Path to the King,-,-,"Please come to a conclusion on whether to support Prince Lex
or Queen Consort within the Adventurers Guild in response
to a request from the skilled adventurer.",Prince Lex,Clea has become the one who houses the dragon.,-,Responding to Prince Lexs request.,-,-,-,-,非表示,-,81,<br>
135,635,Broken Balance,-,-,"Please provide escort for me when meeting with Senator
Pilia who is the client of Prince Lex a skilled
adventurer.",Prince Lex,Automatically accepted in The Path to the King 1-5.,-,I will serve as Prince Lexs bodyguard.,-,-,-,-,非表示,-,82,<br>
136,636,Magic mirror,-,3,"Please find the magic mirror said to have been created by an
ancient civilization as requested by my boyfriend Fal.",Boyfriend Fal.,"・The thief Nora has unlocked the lewd level ・sexual
technique [Desires Fire] ・and has cleared the passion for
the ancient times.",-,Finding the magic mirror.,・1000G,オロス,掲示板,icon_adult_002_3,表示,ノラ,194,<br>
137,637,Substitute for the mirror,-,3,"Please act as a substitute for the magic mirror in the
request from boyfriend Fal and witness the love between the
two. You can accept the request multiple times until Noras
lewdness level increases.",Boyfriend Fal.,"・The thief Nora has unlocked the lewd level ・She has cleared
the magic mirror and unlocked the sexual technique [Desires
Fire]",-,It can serve as a substitute for the magic mirror.,・1000G,オロス,掲示板,icon_adult_002_loop_3,表示,ノラ,195,<br>
138,638,New Shrine Maiden,-,1,"Please accompany me for a day to fulfill a request from the
Voice Priestess Phoni for her hospitality.",Voice Priestess Phoni,"・Clea is clearing the area under the iron mask ・She is also
clearing the strong and fleeting beings.",-,Receiving the hospitality of the Voice Priestess Phoni.,-,ギルド,-,icon_sab_guild_delivery_1,非表示,-,60,<br>
139,639,Thorns of the Black Rose,-,6,"Please rescue the crew members of the Pirata Pirates who
have not returned from the prostitution island. This is a
request from Meleena the captain of the elite adventurer
support request.",Captain Melena of the Pirate Crew Pirata,"・Clearing the Dragons Claw ・Clearing the man with the knife
tattoo ・Clearing the skeleton ship",-,Rescue the crew members of the Pirate Ship Pilata.,・3000・Fools Water・Allows the use of Prostitution Island.,ギルド,-,icon_sab_guild_collect_2,非表示,-,47,<br>
140,640,Red coral reef,-,-,"Please dye the incomplete swimsuit crimson at the Red Coral
Reef a request from the elite adventurer support request
tailor Nihil.",Tailor Nil,Automatically accept orders for Black Rose Thorn 1-8.,-,Dyeing an incomplete red swimsuit,・Heros swimsuit,-,-,-,非表示,-,48,<br>
141,641,The dream of success and advancement in life.,-,7,"Please find and introduce a strong warrior as requested by
the bounty hunter Savan. There seems to be an unsettling
aura from this request letter...",Bounty Hunter Savan,・Clear the path to the king・Cleas AAA duel is Lv.4.,-,Introducing a strong warrior to a male broker.,・3000G,ヴァルト,掲示板,icon_stray_delivery_3,非表示,-,221,<br>
142,642,Cocky boy,-,1,"Please tell Amel the son of the noble Etizo an adventure
story as requested by Etizo.",Noble Etizo,Clea has cleared the whereabouts of the Emma Thief Guild.,-,Telling the adventure story to the young master Amel.,Kurumi (Medium) with a MP increase of 3000.,ヴァルト,掲示板,icon_stray_delivery_1,非表示,-,218,<br>
143,643,Memories of a Boys Youth,-,7,"Please help me come up with a plan to reform Amel the son
of the noble Etizo who has requested it. It is unavoidable
to encounter adult scenes involving Nora.",Noble Etizo,"・The promiscuous thief Nora with her lewd level and sexual
skills [Predator Lv.3] and [Appetite Lv.3] is dominating
the cheeky young boy Clea.",-,To reform the young heir Amel.,・5000G,ヴァルト,掲示板,icon_adult_002_4,表示,ノラ,219,<br>
144,644,Predator of the Prostitution Island,-,3,"Please help with the coward countermeasures for the request
from the receptionist Reina to come to the prostitution
island. If Noras lewdness level increases adult scenes
will be avoided.",Receptionist Reina,"・Thief Nora has unlocked the lewd level ・sexual technique
[tongue licking] ・and has cleared the thorns of the black
rose.",-,I will listen to Receptionist Reinas consultation.,・Changes depending on the customer.,ミュコス,掲示板,icon_adult_002_3,表示,ノラ,180,<br>
145,645,Released Beast,-,3,"Receptionist Reinas request: Please help with the measures
against cowards coming to the prostitution island. You can
accept the request multiple times until Noras lewdness
level increases.",Receptionist Reina,"・The thief Nora has unlocked the lewd level ・sexual
technique [tongue licking] ・and has cleared the predator of
the prostitution island.",-,Catch the coward.,・2000G,ミュコス,掲示板,icon_adult_002_loop_3,表示,ノラ,181,<br>
146,646,The Disappeared Merchant,-,7,"Please find the missing merchant Eisa who is a member of
the commercial group as requested by the head of the
commercial group Nasa.",Chief of the Merchant Guild Narsa.,・We have cleared our new house.,-,Searching for the merchant Eisa.,・10000・Demon Namudos attire,カノナス,掲示板,icon_stray_seek_3,非表示,-,143,<br>
147,647,The Researchers Long Night,-,7,"Please solve the mysterious phenomena occurring in the
nobles mansion as requested by the nobleman Crow.",Noble Crow,Clea is serving as the priestess of the Three Goddesses.,-,Solve the mysterious phenomenon.,・3000・Maid outfit of submission,カノナス,掲示板,icon_stray_fight_3,非表示,-,141,<br>
148,648,Second defeat.,-,3,"Receptionist Reinas request: Please provide service to the
regular customers who come to the prostitution island. If
Cleas lewd level increases adult scenes will be avoided.",Receptionist Reina,"・Clea has unlocked the lewd level ・sexual technique
[masochistic inclination] ・and has cleared the Thorn of the
Black Rose.","・To be fully naked you need at least Sexual Technique
[Sensitivity Good Lv.0].",Heading towards a regular customers place.,・3000G,ミュコス,掲示板,icon_adult_001_3,表示,クレア,177,<br>
149,649,Unbeatable opponent.,-,3,"Receptionist Reinas request: Please provide service to the
regular customers who come to the prostitution island. You
can accept the order multiple times until Cleas lewd level
increases.",Receptionist Reina,"・Clea has unlocked the Lewd Lv. and the Masochistic
Tendencies sexual skills ・She has cleared her second
defeat.","・To be fully naked you need at least Sexual Technique
[Sensitivity Good Lv.0].",Heading towards a regular customers place.,・3000G,ミュコス,掲示板,icon_adult_001_loop_3,表示,クレア,178,<br>
150,650,Remnants of Love,-,3,"Receptionist Reinas Request: Please seduce a man who will
stay at the high-class inn on Prostitution Island without
engaging in prostitution. If Sophias lewdness level
increases adult scenes will be avoided.",Receptionist Reina,"・The priestess Sophia has unlocked the lewd level ・sexual
technique [Twisted Love] ・and has cleared the thorns of the
black rose.","・To engage in a bukkake you need at least the sexual
technique [Lewdness Lv.0].","Tempting a kind-hearted man and leading him into
prostitution.",・3000G,ミュコス,掲示板,icon_adult_004_3,表示,ソフィア,184,<br>
151,651,I want to see that face.,-,3,"Receptionist Reinas request: Please provide service to male
guests staying at the high-class inn on the Prostitution
Island until Sophias lewdness level increases. You can
receive orders multiple times.",Receptionist Reina,"・The priestess Sophia has unlocked the lewd level ・sexual
technique [Twisted Love] ・and has cleared the remnants of
love.","・To engage in a bukkake you need at least the sexual
technique [Lewdness Lv.0].","Tempting a kind-hearted man and leading him into
prostitution.",・3000G,ミュコス,掲示板,icon_adult_004_loop_3,表示,ソフィア,185,<br>
152,652,Primitive Feast,-,3,"Receptionist Reinas request: Please provide service to male
guests staying at the high-class inn on the Prostitution
Island. If Relms lewdness level increases adult scenes
will be avoided.",Receptionist Reina,"・The sorceress Relm has unlocked the lewd level ・sexual
technique [Wicked Wisdom] ・and has cleared the thorns of the
black rose.","・To be fully naked you need at least Sexual Technique
[Pervert Level 0] ・To have vaginal ejaculation you need at
least Sexual Technique [Perverse Pleasure Level 0]",Heading towards the male customer.,・3000G,ミュコス,掲示板,icon_adult_003_3,表示,リルム,182,<br>
153,653,Return to nature naturally.,-,3,"Please participate in a special feast held on the
prostitution island as requested by the receptionist Reina.
You can receive the order multiple times until Relms
lewdness level increases.",Receptionist Reina,"・The sorceress Relm has unlocked the lewd level ・sexual
technique [wicked wisdom] ・and cleared the feast of the
primordial.","・To be fully naked you need at least Sexual Technique
[Pervert Level 0] ・To have vaginal ejaculation you need at
least Sexual Technique [Perverse Pleasure Level 0]",Heading towards the male customer.,・3000G,ミュコス,掲示板,icon_adult_003_loop_3,表示,リルム,183,<br>
154,654,The Secret of the Holy Clergy,-,3,"Please investigate the suspicious person on the prostitution
island who has been hired by the bodyguard Light. If
Sophias lewdness level increases adult scenes will be
avoided.",Bodyguard Light,"・The priestess Sophia has unlocked the lewd level ・and
released her sexual technique [Adult Seduction] ・She has
cleared the thorns of the black rose.","・Being completely naked requires a level of sexual skill
[Hidden Lust Lv.0] or higher.",Investigating the suspicious person.,・3000G,ミュコス,掲示板,icon_adult_004_3,表示,ソフィア,186,<br>
155,655,Dreaming of demons.,-,3,"Please forget all the requests from the person who calls
themselves the demon of lust Oradoru and have a dream
together for just one night. You can accept the request
multiple times until Sophias lewdness level increases.",Orador,"・The priestess Sophia has unlocked the lewd level ・adult
charm・ and has cleared the secrets of the clergy.","・Being completely naked requires a level of sexual skill
[Hidden Lust Level 0] or higher.",Having a dream overnight.,・3000G,ミュコス,掲示板,icon_adult_004_loop_3,表示,ソフィア,187,<br>
156,656,Ghost of the Prostitution Island,-,3,"Please solve the mystery of the ghost child on the island of
prostitution as requested by the bodyguard Left. If Noras
lewdness level increases adult scenes will be avoided.",Bodyguard Left,"・Thief Nora has unlocked the lewd level ・sexual technique
[sensual body] ・and has cleared the thorns of the black
rose.",-,Searching for the ghost of a child.,・3000G,ミュコス,掲示板,icon_adult_002_3,表示,ノラ,179,<br>
157,657,The Last Phantom Thief,-,6,"Please investigate whether the sender of the request letter
from the skilled adventurer-targeting thief Perno is the
real thief Perno.",Phantom Thief Perno,Clea has cleared Reclaiming the Place of Rest.,-,Contacting the Phantom Thief Perno.,-,ギルド,-,icon_sab_guild_arrest_2,非表示,-,61,<br>
158,658,Return of the Sister Statue,-,6,"Please assist in returning the stolen statue of the sisters
from the mysterious thief Perno to the Casaro Bathhouse.",Phantom Thief Perno,Clea has cleared the final phantom thief.,-,Return the statue of the sisters.,-,カンプス,掲示板,icon_stray_delivery_2,非表示,-,164,<br>
159,659,One coin.,-,7,"Please decipher the mysterious text and carry out the
request from the Phantom Thief Perno.",Phantom Thief Perno,"・Clea and Nora have cleared the Sister Statue Return quest.
・Nora has reached level 2 or higher in the Stealth skill.",-,Return one coin.,-,オロス,掲示板,icon_stray_delivery_3,非表示,-,207,<br>
160,660,The Orcs Secret Treasure,-,8,"Please assist in returning the stolen treasure from the orc
as requested by the mysterious thief Perno.",Phantom Thief Perno,"Clea needs to clear one coin and Nora needs to have Stealth
at level 3 or higher.",-,Return the Orcs treasure.,-,ヴァルト,掲示板,icon_stray_delivery_3,非表示,-,224,<br>
161,661,Mysterious Thief Traveling through the Night,-,10,"Please complete the final return of the request from the
Phantom Thief Perno and put an end to the Phantom Thief
Perno.",Phantom Thief Perno,"・Cleared the Orcs treasure and Nora reached level 4 as a
stealth character.",-,Return the final treasure.,-,オロス,掲示板,icon_stray_delivery_4,非表示,-,208,<br>
162,662,Weak heart,-,7,"Please conduct the training for the new apprentice swordsman
as requested by the mercenary captain Gale.",Mercenary Captain Gale,"・Clear the Crown of Glory・Cleas Skill: Duel is Lv.2 or
higher.",-,Conducting new employee training.,・3000G,オロス,掲示板,icon_stray_fight_3,非表示,-,200,<br>
163,663,Strong Heart,-,4,"Please encourage Auto who has lost even more confidence
from the request of the mercenary captain Gale. It is
unavoidable to encounter an adult scene with Clea.",Mercenary Captain Gale,"・Clea has a promiscuous level sexual technique [seduction
level 2 or higher] and alluring hair level 3 clearing the
weak heart requirement ・She has cleared the whereabouts of
the Emma Thief Brigade.",-,Auto the apprentice swordsman regains her confidence.,・5000G,オロス,掲示板,icon_adult_001_4,表示,クレア,201,<br>
164,664,Aching heart,-,4,"Please go watch the final match of the apprentice swordsman
Auto as requested by Auto. It is unavoidable to encounter
an adult scene involving Clea.",Apprentice Swordsman Auto,"Clea has reached the level of lewdness ・ Sexual Technique
[Sweet Melody Lv.3] [Boiling Sensuality Lv.3] clearing the
necessary and strong heart.",-,Watching the finals of the auto race.,-,オロス,掲示板,icon_adult_001_4,表示,クレア,202,<br>
165,665,Devils Bride,-,7,"Please completely defeat the demon bride Ankos who is in
the process of revival in a request from the skilled
adventurer-supporting goddess Actinas shrine maiden.",Actinas Priestess,"・Clea cleared the Shrine Maiden of the Three Goddesses・Mage
Relms skill: Deciphering is at level 4.",-,Defeat of the Demon Bride Ancos,・Challenge to the Heros Ruins,ギルド,-,icon_sab_guild_fight_3,非表示,-,66,<br>
166,666,Two Oracles,-,7,"Please carry out the salvation of those who are lost
according to the divine oracle received by the priestess of
the skilled adventurer support request goddess Imiserinos.",Imiserinos Shrine Maiden,"・Cleared the Demon Bride ・Cleared the invitation from the
Bulk Gang ・Priestess Sophias skill: Prayer is at level 4",-,Salvation for the Lost Souls,-,ギルド,-,icon_sab_guild_delivery_3,非表示,-,68,<br>
167,667,Glory of Imiserinos,-,-,"Please rescue Goht a skilled adventurer from the curse of
turning into an ogre. This is a request from the Bulk Guild.",The goat of the Bulk Gang.,・Automatic acceptance in Two Oracles 1-6,-,Save the goat from the Bulk Gang.,-,-,-,-,非表示,-,69,<br>
168,668,Things that disappear and things that remain,-,7,"Please identify and resolve the root cause of the curse that
turns people into ogres as requested by the experienced
adventurer support request from the Bulk Corps Goat.",Goat of the Bulk Gang,Clea has cleared the glory of Imiserinos.,-,Solve the curse of the Bulk Gang.,・The secret treasure of the Bulk Gang,ヴァルト,掲示板,icon_sab_guild_infiltrate_3,非表示,-,225,<br>
169,669,The Shadow of the Underground Cooking Club,-,6,"Owner please deliver the fragrant fish sauce to the
restaurant Miro. It is unavoidable that an adult scene with
Clea will occur.",Owner Tokyo,"・Clea has a promiscuity level of ・sexual technique
[seductive gaze level 2 or higher] [enchanting eyes level 3]
is required ・obtained a fish sauce that smells with ancient
coin exchange ・cleared the Skull Sea.","・To perform a vaginal creampie you need the sexual
technique [Masochistic Preference Level 3].",Delivering a pungent fish sauce.,・5000G,カノナス,掲示板,icon_adult_001_4,表示,クレア,134,<br>
170,670,The pleasure of a gourmet.,-,4,"Please fulfill the request from the gourmet Gnil. This
request is to satisfy Gnils twisted desires. You can accept
this request as many times as you want.",Gourmet Gunil,"・Clea has a promiscuous level. She has mastered the sexual
techniques [Seductive Gaze Level 2 or higher] and
[Enchanting Eyes Level 3]. She has successfully cleared the
hidden side of the cooking club.","・To perform a vaginal creampie you need the sexual
technique [Masochistic Preference Level 3].",Satisfying the sexual desires of gourmet Gnil.,・4000G,カノナス,掲示板,icon_adult_001_loop_4,表示,クレア,135,<br>
